resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
oil,1,minus_external_macro,198,1.3563114286024598,1.069804632352222,1.267812259907946,0.001091150454963996,
oil,1,PRUNED,30,1.2880697609578342,1.0159783129493944,1.267812259907946,-0.06715051718966158,"[""own_std_7"", ""own_range_7"", ""cement_vol_21"", ""steel_ret_1"", ""own_ret_lag_7"", ""natgas_egp"", ""usd_ret_21"", ""steel_ret_5"", ""own_macd_hist"", ""aluminium_ret_1"", ""own_ret_lag_21"", ""own_range_45"", ""ratio_own_cement_z21"", ""own_range_5"", ""own_ret_lag_5"", ""own_range_3"", ""own_logret_lag_5"", ""own_z_3"", ""own_vol_7"", ""own_std_21"", ""own_mean_7"", ""own_dist_high_60"", ""own_logret_lag_30"", ""own_mom_5"", ""ratio_own_steel_z21"", ""ratio_own_steel"", ""natgas_ret_3m"", ""natgas_vol_6m"", ""ratio_own_copper_z21"", ""own_std_60""]"
oil,3,ALL,229,2.033973474591848,1.048386763140531,1.9400983931721048,,
oil,3,minus_own_lags,196,2.0047615836610504,1.03332985106143,1.9400983931721048,-0.02921189093079768,
oil,3,minus_own_rolling,172,2.0298384199911856,1.0462553997956536,1.9400983931721048,-0.004135054600662436,
oil,3,minus_own_momentum,200,2.0462765703937524,1.054728243472252,1.9400983931721048,0.012303095801904362,
oil,3,minus_calendar,223,2.0231956650079463,1.0428314729439963,1.9400983931721048,-0.010777809583901732,
oil,3,minus_cross_resource,164,2.0932080635621886,1.0789185079112127,1.9400983931721048,0.05923458897034051,
oil,3,minus_fx,221,2.0076503172477924,1.0348188134753509,1.9400983931721048,-0.02632315734405566,
oil,3,minus_external_macro,198,2.0132526655922955,1.0377064754435377,1.9400983931721048,-0.02072080899955253,
oil,3,PRUNED,30,1.9619400480797253,1.0112580140185101,1.9400983931721048,-0.07203342651212274,"[""ratio_own_steel"", ""own_std_5"", ""steel_ret_5"", ""coal_ret_3m"", ""cement_vol_21"", ""aluminium_vol_21"", ""own_ret_lag_7"", ""steel_vol_7"", ""own_logret_lag_7"", ""own_ret_lag_2"", ""aluminium_lag_5"", ""ratio_own_copper_z21"", ""own_std_7"", ""own_mom_5"", ""own_min_7"", ""own_ret_lag_60"", ""aluminium_lag_14"", ""own_mom_45"", ""copper_vol_7"", ""own_accel"", ""aluminium_lag_1"", ""own_range_30"", ""own_z_30"", ""aluminium_z_7"", ""own_vol_14"", ""own_ret_lag_21"", ""aluminium_ret_5"", ""copper_ret_5"", ""oil_egp"", ""own_std_14""]"
oil,7,ALL,229,3.177992951990779,1.0776112618613376,2.949108889695057,,
oil,7,minus_own_lags,196,3.1434044377099593,1.0658827989342208,2.949108889695057,-0.03458851428081955,
oil,7,minus_own_rolling,172,3.00383866692068,1.0185580727171055,2.949108889695057,-0.17415428507009878,
oil,7,minus_own_momentum,200,3.2184433733724283,1.0913274123646282,2.949108889695057,0.04045042138164945,
oil,7,minus_calendar,223,3.342913975978821,1.1335335862503484,2.949108889695057,0.16492102398804231,
oil,7,minus_cross_resource,164,3.2923765516818126,1.1163970795334892,2.949108889695057,0.11438359969103384,
oil,7,minus_fx,221,3.196213114253568,1.0837894543066744,2.949108889695057,0.01822016226278933,
oil,7,minus_external_macro,198,3.195350470801915,1.0834969444388063,2.949108889695057,0.01735751881113634,
