resource,horizon,family,rmse,diracc,skill,naive,regime
oil,7,xgboost,3.194900091607744,0.5481055433197157,1.0833442273940934,2.949108889695057,full
oil,7,lightgbm,3.1845199227592667,0.5718490129648247,1.0798244628697151,2.949108889695057,full
oil,7,catboost,3.0748797950920164,0.5634226033089068,1.0426470876800904,2.949108889695057,full
oil,14,ridge,5.768060457331851,0.4979751391497065,1.6683183074624206,3.4574100347225123,full
oil,14,elasticnet,5.794949659785939,0.48977841783823106,1.6760955748920983,3.4574100347225123,full
oil,14,rf,3.416668923766726,0.5899635043356812,0.9882162918061131,3.4574100347225123,full
oil,14,extratrees,3.5845725049202164,0.6061787216084784,1.036779690265436,3.4574100347225123,full
oil,14,xgboost,3.5771719175452965,0.617142694005989,1.034639189919629,3.4574100347225123,full
oil,14,lightgbm,3.643158116003873,0.6180762329857645,1.0537246318532967,3.4574100347225123,full
oil,14,catboost,3.4928813124763307,0.6283063915816542,1.010259494071453,3.4574100347225123,full
oil,21,ridge,7.697523492859224,0.5760314725275657,1.9869267540420354,3.874085180643944,full
oil,21,elasticnet,7.729642808235118,0.5797628158111479,1.9952175669380379,3.874085180643944,full
oil,21,rf,3.728586843800139,0.5527938073198658,0.9624431755990404,3.874085180643944,full
oil,21,extratrees,3.7910963933461197,0.5907181924298134,0.978578481518047,3.874085180643944,full
oil,21,xgboost,3.7279366475768096,0.6229428091394642,0.9622753434030479,3.874085180643944,full
oil,21,lightgbm,3.956297634934484,0.5824285724134894,1.0212211271712086,3.874085180643944,full
oil,21,catboost,4.069294476567685,0.5399232385137525,1.0503884883324361,3.874085180643944,full
aluminium,1,ridge,230.18465897911813,0.4912824555292794,8.128450742498718,28.31839255365389,trunc50
aluminium,1,elasticnet,200.81288332943095,0.5196988029111441,7.091252900352929,28.31839255365389,trunc50
aluminium,1,rf,29.83110532058635,0.5420229212878941,1.053418030845726,28.31839255365389,trunc50
aluminium,1,extratrees,31.015877275155688,0.502146082726845,1.0952555734366265,28.31839255365389,trunc50
aluminium,1,xgboost,29.483477206617763,0.5291175518035772,1.0411423300512705,28.31839255365389,trunc50
aluminium,1,lightgbm,34.222392618505395,0.523858213105037,1.2084864122730623,28.31839255365389,trunc50
aluminium,1,catboost,30.980982416335326,0.5182618685341008,1.0940233404010034,28.31839255365389,trunc50
aluminium,3,ridge,283.7769933536237,0.49686492585428754,7.381205411652167,38.44588756541659,trunc50
aluminium,3,elasticnet,213.03329285855483,0.5032751822645439,5.541120425326991,38.44588756541659,trunc50
aluminium,3,rf,45.3241132876639,0.5134144224569757,1.1789066700708586,38.44588756541659,trunc50
aluminium,3,extratrees,44.95006710938094,0.5102774884689778,1.1691775104137558,38.44588756541659,trunc50
aluminium,3,xgboost,44.47040652084411,0.48754401626742055,1.1567012582340999,38.44588756541659,trunc50
aluminium,3,lightgbm,51.307603269222724,0.5176424639190597,1.33454074072088,38.44588756541659,trunc50
aluminium,3,catboost,46.81802689530893,0.46022293309527357,1.2177642359185217,38.44588756541659,trunc50
aluminium,7,ridge,381.59832947579685,0.42098096150987735,6.408614974771674,59.54458661941887,trunc50
aluminium,7,elasticnet,322.37461662822176,0.44116134750735486,5.414003773150521,59.54458661941887,trunc50
aluminium,7,rf,73.16115123638284,0.5360454530736193,1.2286784641565265,59.54458661941887,trunc50
aluminium,7,extratrees,76.06808777063594,0.5234624588564422,1.2774979572337541,59.54458661941887,trunc50
aluminium,7,xgboost,70.5582929871477,0.5079315338427585,1.18496570373598,59.54458661941887,trunc50
aluminium,7,lightgbm,79.30174627513239,0.514151638076356,1.3318044641403262,59.54458661941887,trunc50
aluminium,7,catboost,71.02160681629479,0.46790987800401124,1.1927466600823289,59.54458661941887,trunc50
aluminium,14,ridge,419.1144007520878,0.3702259952312933,5.295431061096647,79.14641809448695,trunc50
aluminium,14,elasticnet,361.01326680046793,0.393772058020794,4.561334239655437,79.14641809448695,trunc50
aluminium,14,rf,123.01004057416111,0.45612383867129414,1.5542085609901979,79.14641809448695,trunc50
aluminium,14,extratrees,117.5072939524608,0.4162749088780695,1.4846823998045962,79.14641809448695,trunc50
aluminium,14,xgboost,121.77329678295732,0.3850882963020046,1.5385825374634308,79.14641809448695,trunc50
aluminium,14,lightgbm,121.00859779174607,0.46687888695926605,1.5289207105656129,79.14641809448695,trunc50
aluminium,14,catboost,108.37830237047262,0.3955342914782532,1.3693393204615771,79.14641809448695,trunc50
aluminium,21,ridge,233.06010572012426,0.4657219576400611,2.431418497448155,95.85355460803135,trunc50
aluminium,21,elasticnet,230.63097958010505,0.45530529097339445,2.4060764415384654,95.85355460803135,trunc50
aluminium,21,rf,121.43751656131215,0.631915139458243,1.266906762695446,95.85355460803135,trunc50
aluminium,21,extratrees,105.0286702809149,0.6547893557591833,1.095720140065779,95.85355460803135,trunc50
aluminium,21,xgboost,118.38718435768033,0.597807903303593,1.235083924031764,95.85355460803135,trunc50
aluminium,21,lightgbm,123.98197854622595,0.5654639900329556,1.2934520691821876,95.85355460803135,trunc50
aluminium,21,catboost,109.90583797062368,0.5568433003777832,1.146601588434102,95.85355460803135,trunc50
copper,1,ridge,0.08266113146264337,0.47228163992869876,1.008251621897703,0.08198462533297085,full
copper,1,elasticnet,0.08214055317923355,0.46558600713012477,1.0019019157022357,0.08198462533297085,full
copper,1,rf,0.08686161886767174,0.4459781639928699,1.0594866844227628,0.08198462533297085,full
copper,1,extratrees,0.08283773351442188,0.48177361853832446,1.0104057093386258,0.08198462533297085,full
copper,1,xgboost,0.08362889062898689,0.5117535650623886,1.0200557761816689,0.08198462533297085,full
copper,1,lightgbm,0.08656324309033767,0.5327818627450981,1.0558472730560309,0.08198462533297085,full
copper,1,catboost,0.0842182937749835,0.5544396167557932,1.027244967369685,0.08198462533297085,full
copper,3,ridge,0.1664581653811789,0.46223497975519545,1.022495427009217,0.1627959998491792,full
copper,3,elasticnet,0.16656545109323492,0.466677022438478,1.0231544463472562,0.1627959998491792,full
copper,3,rf,0.16572473129046023,0.4851985391068949,1.0179901929039676,0.1627959998491792,full
copper,3,extratrees,0.16203082178598704,0.48017671905812065,0.9952997735576977,0.1627959998491792,full
copper,3,xgboost,0.1739631803842437,0.4456518885427241,1.0685961605040064,0.1627959998491792,full
copper,3,lightgbm,0.1885418982859482,0.47151287616247184,1.1581482251444817,0.1627959998491792,full
copper,3,catboost,0.16324179617039286,0.5099728999661615,1.002738373925813,0.1627959998491792,full
copper,7,ridge,0.2586040746288475,0.37012473023625625,1.1041176588022108,0.23421785945294193,full
copper,7,elasticnet,0.26545124445814305,0.39202173727850975,1.1333518506152875,0.23421785945294193,full
copper,7,rf,0.2873948697368023,0.49041983757383006,1.2270408004242923,0.23421785945294193,full
copper,7,extratrees,0.26065379676693823,0.469481201726488,1.1128690074093504,0.23421785945294193,full
copper,7,xgboost,0.30930021393019863,0.5279418446160836,1.320566308020341,0.23421785945294193,full
copper,7,lightgbm,0.28924912208227505,0.46723435370286237,1.234957585035866,0.23421785945294193,full
