Date,Steel_Price,Cement_Price,USD_Buy,USD_Sell,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Volume,Oil_Change_Percent,Aluminium_Price,Aluminium_Open,Aluminium_High,Aluminium_Low,Aluminium_Change_Percent,Copper_Price,oil_egp,oil_egp_ret_5,oil_egp_ret_21,oil_egp_vol_21,steel_oil_egp_ratio,steel_oil_egp_ratio_z21,alu_egp,alu_egp_ret_5,alu_egp_ret_21,alu_egp_vol_21,steel_alu_egp_ratio,steel_alu_egp_ratio_z21,cop_egp,cop_egp_ret_5,cop_egp_ret_21,cop_egp_vol_21,steel_cop_egp_ratio,steel_cop_egp_ratio_z21,egp_depreciation_ret_21,egp_devaluation_flag,cbe_rate,cbe_rate_change_90,cbe_days_since_change,iron_ore_level,iron_ore_ret_1m,iron_ore_ret_3m,iron_ore_vol_6m,iron_ore_mom_12m,iron_ore_mean_3m,iron_ore_dev_12m,iron_ore_egp,steel_iron_ore_egp_ratio,coal_level,coal_ret_1m,coal_ret_3m,coal_vol_6m,coal_mom_12m,coal_mean_3m,coal_dev_12m,coal_egp,steel_coal_egp_ratio,natgas_level,natgas_ret_1m,natgas_ret_3m,natgas_vol_6m,natgas_mom_12m,natgas_mean_3m,natgas_dev_12m,natgas_egp,steel_natgas_egp_ratio,egypt_cpi_inflation,egypt_cpi_inflation_change,egypt_gdp_growth,egypt_gdp_growth_change
2024-06-09,41150.0,2157.5,47.5229,47.661,,,,,,,,,,,,,3585.0604200000002,0.032860898389671656,-0.04094542356684305,0.01433718058136874,11.478188699536616,-0.04376666256504314,122870.058,-0.029001884390188915,0.001437080685810166,0.017820799549106547,0.3349066539872554,0.3186403531850973,222.5959344,0.030744524557854147,-0.06775340039564437,0.018206969266511382,184.86411313359548,-0.1316853650474267,0.014644551881821677,0.0,27.25,0.0,95,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5683.056195652173,7.24082229408216,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7054.1173689954,5.8334725448238895,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.29817565217394,356.90070347807904,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-10,41694.0,2259.78,47.6471,47.7843,77.33,74.97,77.85,74.94,181840.0,2.81,2572.0,2575.0,2574.0,2575.0,-0.23,4.5488,3695.159919,0.049500626780092816,-0.010400954911947813,0.01597321987126104,11.283408814220795,-0.7893683138012896,122901.21960000001,-0.017241044953372864,0.002796902541402968,0.01781879842896665,0.3392480573886835,0.8820126525179101,217.36122384,-0.01408823117934821,-0.08867174161821079,0.01873342039892746,191.8189420514628,1.1391141129897928,0.018392499781549,0.0,27.25,0.0,96,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.758380434782,7.317614615454865,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7072.36651759902,5.895339261087192,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.59645443478263,360.685803071261,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-11,40864.0,2247.0,47.4854,47.6251,77.55,77.65,77.99,76.86,202570.0,0.28,2533.5,2538.0,2533.0,2533.0,-1.5,4.5216,3693.326505,0.03155515465375136,-0.0025655443456709115,0.01587094848231679,11.064280383734987,-1.4384232042399405,120658.19085000001,-0.042267162640172495,-0.017481103389010433,0.018263329326298983,0.3386757228177021,0.8486333932641777,215.34165216000002,-0.020996929383291896,-0.0967226817439063,0.018739699598199076,189.76356682560336,0.6372005492896352,0.01994264775484611,0.0,27.25,0.0,97,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5678.775510869565,7.195917486398874,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7048.8039510321405,5.797295581474695,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.21132886956524,354.68734195630674,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-12,41413.0,2203.0,47.6438,47.7781,78.15,77.8,78.94,77.56,209180.0,0.77,2575.5,2532.0,2531.0,2529.0,1.66,4.5248,3733.8585150000004,0.04315313134500687,0.016119470414669212,0.015947661081226076,11.09120761636572,-1.216995223315449,123052.49655000001,0.0030695665880013934,-0.03353729245109682,0.016898778128370637,0.33654741806211647,0.5511801452176829,216.18634688,-0.027257876460669572,-0.09302645658314446,0.018811690416985036,191.56158840589222,1.0084538523951014,0.022750576363632424,0.0,27.25,0.0,98,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.019097826086,7.269240156804583,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.4488799563405,5.856367019407158,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58145582608698,358.3014221789461,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-13,41564.0,2219.0,47.6391,47.7791,78.26,78.01,78.54,77.35,301730.0,0.14,2557.0,2565.0,2557.0,2557.5,-0.72,4.4768,3739.192366,0.044643285123042276,0.03388635416812691,0.015483659564875008,11.115769377883886,-1.04367567701881,122171.1587,-0.004114710041915659,-0.0115109961744293,0.01569812566509696,0.34021122859334885,1.043228857919901,213.89747488,-0.03755677942990099,-0.04940539414366363,0.014496143066927963,194.3173944588083,1.5367059951986795,0.01922223644353438,0.0,27.25,0.0,99,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.2955925486977,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.877597474783005,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,359.60033365929974,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-14,41564.0,2219.0,,,78.05,77.65,78.8,77.42,316380.0,-0.27,2517.5,2532.0,2529.0,2530.0,-1.54,4.4992,3729.158755,0.040194116170572114,0.033658835431741085,0.015486614804307084,11.145677277555324,-0.863527319197494,120283.88425,-0.02104803881511963,-0.02757027748036467,0.016030441808983685,0.3455492002038502,1.7896171323606385,214.96772672,-0.034269303707462506,-0.04608519679501111,0.014563064626385873,193.34995366136047,1.2020960553274842,0.01260159586304832,0.0,27.25,0.0,100,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.2955925486977,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.877597474783005,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,359.60033365929974,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-15,41564.0,2219.0,,,,,,,,,,,,,,,3729.158755,0.009200910581753874,0.02335303065014771,0.01536735219097455,11.145677277555324,-0.7832321752709912,120283.88425,-0.021296252051188014,-0.04236494455851836,0.015576339698111329,0.3455492002038502,1.6612601631056738,214.96772672,-0.011011610432235419,-0.04255693087865109,0.014567029742591582,193.34995366136047,1.1302320393690297,0.01260159586304832,0.0,27.25,0.0,101,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.2955925486977,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.877597474783005,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,359.60033365929974,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-16,41000.0,2150.0,,,,,,,,,,,,,,,3729.158755,0.009701890680797076,0.02335303065014771,0.01536735219097455,10.994436733225106,-1.1605476723914214,120283.88425,-0.0031022063016454826,-0.04236494455851836,0.015576339698111329,0.3408602927619541,1.034005383148893,214.96772672,-0.001736428769117948,-0.04255693087865109,0.014567029742591582,190.7263040158738,0.5170826961214899,0.01260159586304832,0.0,27.25,0.0,102,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-17,41000.0,2150.0,,,79.72,78.12,80.01,77.58,402740.0,2.14,2501.5,2497.0,2495.0,2485.0,-0.64,4.4576,3808.9498519999997,0.020110921905137857,0.048950678879407405,0.01593021881782641,10.764121764026838,-1.742877686168402,119519.41864999999,-0.028711956271154748,-0.04508158336278589,0.015602092435562662,0.3430404905169776,1.2235827411972775,212.98011616000002,-0.014830865900054668,-0.04805038823432173,0.014649828218804275,192.50623362980514,0.8771398088049545,0.016187417584754726,0.0,27.25,0.0,103,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-18,41000.0,2150.0,,,80.71,79.92,80.85,79.17,485710.0,1.24,2486.5,2481.0,2481.0,2481.0,-0.6,4.4896,3856.2511609999997,0.03130590339892647,0.03775784291796391,0.015393004750371815,10.632087560751078,-1.8837685005658384,118802.73215,-0.027571372702385633,-0.05540027164027972,0.01553673517659634,0.34510990831619526,1.3529870986390446,214.50904736,0.002859185132237263,-0.058830696418921136,0.014035873364749084,191.13412932738316,0.448960637300541,0.011270652279740778,0.0,27.25,0.0,104,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-19,41000.0,2150.0,,,80.59,80.78,81.16,80.31,,-0.15,2499.0,2509.0,2505.0,2503.0,0.5,4.5008,3850.5176690000003,0.032543241511851395,0.019711869253586478,0.015050958027681437,10.64791893570194,-1.6580035362187242,119399.9709,-0.007348560079443955,-0.08076530601307519,0.013473797037497386,0.34338366827859923,1.0362857685910185,215.04417328,0.00035561877667134034,-0.06849801443947556,0.01363335913737001,190.65850227253367,0.22275146615622948,0.004022047714010268,0.0,27.25,0.0,105,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-20,41000.0,2150.0,,,81.29,80.75,81.52,80.3,420500.0,0.87,2521.5,2512.0,2508.0,2508.0,0.9,4.5632,3883.963039,0.04151185137732227,0.04012608949424323,0.014874504206734477,10.556228158792218,-1.6797750216823513,120475.00065,0.0015888778550148253,-0.08135772612785497,0.013441914410710687,0.34031956653905193,0.5550875730432497,218.02558912,0.014224751066856278,-0.04019546852102718,0.01379373304803001,188.0513207898447,-0.7840668380828035,0.008265910347476257,0.0,27.25,0.0,106,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-21,41000.0,,,,79.96,80.44,80.94,79.59,163220.0,-1.64,2513.5,2508.0,2503.0,2503.5,-0.32,4.4288,3820.416836,0.024471492632927694,0.05070952940680584,0.014045822645230738,10.731813244474981,-1.1457370997253231,120092.76785,-0.0015888778550149363,-0.044570644426623285,0.010164653146431798,0.34140274001520565,0.6592448819421517,211.60407808,-0.015647226173541973,-0.027228985764442437,0.011972443423550923,193.75808052479667,1.2082431042626753,0.008265910347476257,0.0,27.25,0.0,107,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.196595479179234,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.7978417973752086,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,354.7207602740662,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-22,41250.0,,,,,,,,,,,,,,,,3820.416836,0.0030105368790767084,0.05070952940680584,0.014045822645230738,10.797251130112024,-0.9201523013975136,120092.76785,0.004797121726964004,-0.044570644426623285,0.010164653146431798,0.34348446403968863,0.9468080647914393,211.60407808,-0.006460875807609567,-0.027228985764442437,0.011972443423550923,194.93953223531372,1.4477812457672656,0.008265910347476257,0.0,27.25,0.0,108,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5697.138336956521,7.240477158930327,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7071.59688602774,5.833194491261643,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,115.58387495652175,356.88369173915197,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-23,41250.0,2150.0,48.0771,48.2166,,,,,,,,,,,,,3855.3993359999995,-0.00022089458503504744,0.0600330713493431,0.014112711421292428,10.699280776137998,-1.0488944843312011,121192.4241,0.02011478950654766,-0.03609257753895623,0.010450010545147125,0.34036781016908463,0.2906583831494107,213.54167808,-0.004509689879777068,-0.01859703649790212,0.012184630528501337,193.17072138276606,0.7747430084498278,0.01721282597092455,0.0,27.25,0.0,109,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5749.305456521738,7.174779686337237,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7136.3495422652395,5.780266192917774,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,116.64224452173914,353.64545811969566,13.8956609775178,0.0,6.58784560870467,0.0
2024-06-24,41744.0,2239.0,48.25,48.3883,80.86,79.77,80.99,79.52,158610.0,1.13,2503.0,2507.0,2506.0,2505.0,-0.42,4.4256,3912.6779380000003,0.016143353788620196,0.11859096516527656,0.01058748236117419,10.66890775613845,-1.031087037742977,121115.9149,0.014371393787333098,-0.03610096805682306,0.01044996375053646,0.344661558594229,1.1130523872402547,214.14726048,-0.0041708305150502945,-0.02410475023123748,0.01202951852899808,194.93128189654627,1.2369561659874735,0.02493698502467656,0.0,27.25,0.0,110,119.2391304347826,0.06247908852378181,-0.05312091543564568,0.07634564263669939,0.1408069883527452,113.88562645084384,-0.012392687386880374,5769.778815217391,7.234939386221028,148.0060714,0.07644413979997577,0.15000376587473707,0.08302423862301421,-0.17436039964168393,141.06821426666667,0.029085024215257826,7161.76218472462,5.8287330580504495,2.419130434782609,0.3538761018880028,0.3489574915144662,0.24390266980404782,0.04488262910798113,1.984363824581216,-0.022411524577763853,117.05760921739132,356.6107344843847,13.8956609775178,0.0,6.58784560870467,0.0
